SKU,Product,Product additional attribute 6,Required by,PO #,PO date,Status,Product additional attribute 8,Supplier,Quantity,Cost,Total
AGA05111,0.5 x 1.7 mm CITO DYNAMIC (35 m / box),,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.5 x 1.7 mm,CITO-SYSTEM GmbH,6.00,51.4789184,308.87
AGA05111,0.5 x 1.7 mm CITO DYNAMIC (35 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,0.5 x 1.7 mm,CITO-SYSTEM GmbH,2.00,51.1845152,102.37
AGA05111,0.5 x 1.7 mm CITO DYNAMIC (35 m / box),,26-Feb-2026,P23-2549,07-Nov-2025,Completed,0.5 x 1.7 mm,CITO-SYSTEM GmbH,3.00,51.8874720,155.66
AGA05111,0.5 x 1.7 mm CITO DYNAMIC (35 m / box),,20-May-2026,P23-2938,08-May-2026,Fully billed,0.5 x 1.7 mm,CITO-SYSTEM GmbH,3.00,47.3269888,141.98
AGA05111,0.5 x 1.7 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.5 x 1.7 mm,CITO-SYSTEM GmbH,12.00,50.6903488,608.28
AGA05121,0.5 x 1.9 mm CITO DYNAMIC (35 m / box),,26-Feb-2026,P23-2549,07-Nov-2025,Completed,0.5 x 1.9 mm,CITO-SYSTEM GmbH,2.00,51.8874720,103.77
AGA05121,0.5 x 1.9 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.5 x 1.9 mm,CITO-SYSTEM GmbH,3.00,50.6903488,152.07
AGA05131,0.5 x 2.1 mm CITO DYNAMIC (35 m / box),,22-Sep-2025,P23-2409,08-Sep-2025,Completed,0.5 x 2.1 mm,CITO-SYSTEM GmbH,1.00,48.4359438,48.44
AGA05131,0.5 x 2.1 mm CITO DYNAMIC (35 m / box),,24-Feb-2026,P23-2758,10-Feb-2026,Completed,0.5 x 2.1 mm,CITO-SYSTEM GmbH,1.00,45.6844906,45.68
AGA05131,0.5 x 2.1 mm CITO DYNAMIC (35 m / box),,15-Apr-2026,P23-2849,01-Apr-2026,Completed,0.5 x 2.1 mm,CITO-SYSTEM GmbH,1.00,45.3137582,45.31
AGA05131,0.5 x 2.1 mm CITO DYNAMIC (35 m / box),,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,0.5 x 2.1 mm,CITO-SYSTEM GmbH,2.00,44.6512708,89.30
AGA06071,0.6 x 1.3 mm CITO DYNAMIC (35 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,0.6 x 1.3 mm,CITO-SYSTEM GmbH,1.00,50.3232373,50.32
AGA06071,0.6 x 1.3 mm CITO DYNAMIC (35 m / box),,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,0.6 x 1.3 mm,CITO-SYSTEM GmbH,1.00,47.1026486,47.10
AGA06081,0.6 x 1.4 mm CITO DYNAMIC (35 m / box),,15-Apr-2026,P23-2849,01-Apr-2026,Completed,0.6 x 1.4 mm,CITO-SYSTEM GmbH,1.00,47.8015069,47.80
AGA06091,0.6 x 1.5 mm CITO DYNAMIC (35 m / box),,27-Nov-2025,P23-2557,13-Nov-2025,Completed,0.6 x 1.5 mm,CITO-SYSTEM GmbH,3.00,51.4926048,154.48
AGA06091,0.6 x 1.5 mm CITO DYNAMIC (35 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,0.6 x 1.5 mm,CITO-SYSTEM GmbH,2.00,51.1845152,102.37
AGA06091,0.6 x 1.5 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.6 x 1.5 mm,CITO-SYSTEM GmbH,2.00,50.6903488,101.38
AGA06111,0.6 x 1.7 mm CITO DYNAMIC (35 m / box),,15-Apr-2026,P23-2849,01-Apr-2026,Completed,0.6 x 1.7 mm,CITO-SYSTEM GmbH,1.00,48.6196256,48.62
AGA06111,0.6 x 1.7 mm CITO DYNAMIC (35 m / box),,13-Aug-2026,P23-2864,13-Apr-2026,Fully billed,0.6 x 1.7 mm,CITO-SYSTEM GmbH,5.00,48.3051296,241.53
AGA06121,0.6 x 1.9 mm CITO DYNAMIC (35 m / box),,25-Nov-2026,P23-3131,13-Aug-2026,Ordered,0.6 x 1.9 mm,CITO-SYSTEM GmbH,3.00,47.5844096,142.75
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,22-Sep-2025,P23-2409,08-Sep-2025,Completed,0.6 x 2.5 mm,CITO-SYSTEM GmbH,2.00,51.9695904,103.94
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,30-Oct-2025,P23-2511,16-Oct-2025,Receiving,0.6 x 2.5 mm,CITO-SYSTEM GmbH,4.00,52.3082560,209.23
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.6 x 2.5 mm,CITO-SYSTEM GmbH,10.00,51.4789184,514.79
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,20-May-2026,P23-2938,08-May-2026,Fully billed,0.6 x 2.5 mm,CITO-SYSTEM GmbH,4.00,47.3269888,189.31
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,13-Aug-2026,P23-2864,13-Apr-2026,Fully billed,0.6 x 2.5 mm,CITO-SYSTEM GmbH,5.00,48.3051296,241.53
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,0.6 x 2.5 mm,CITO-SYSTEM GmbH,6.00,47.9088064,287.45
AGA06151,0.6 x 2.5 mm CITO DYNAMIC (35 m / box),False,25-Nov-2026,P23-3131,13-Aug-2026,Ordered,0.6 x 2.5 mm,CITO-SYSTEM GmbH,3.00,47.5844096,142.75
AGA06161,0.6 x 2.7 mm CITO DYNAMIC (35 m / box),False,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.6 x 2.7 mm,CITO-SYSTEM GmbH,16.00,51.4789184,823.66
AGA06161,0.6 x 2.7 mm CITO DYNAMIC (35 m / box),False,24-Feb-2026,P23-2758,10-Feb-2026,Completed,0.6 x 2.7 mm,CITO-SYSTEM GmbH,20.00,49.0174048,980.35
AGA06161,0.6 x 2.7 mm CITO DYNAMIC (35 m / box),False,26-Feb-2026,P23-2549,07-Nov-2025,Completed,0.6 x 2.7 mm,CITO-SYSTEM GmbH,8.00,51.8874720,415.10
AGA06161,0.6 x 2.7 mm CITO DYNAMIC (35 m / box),False,20-May-2026,P23-2938,08-May-2026,Fully billed,0.6 x 2.7 mm,CITO-SYSTEM GmbH,10.00,47.3269888,473.27
AGA06161,0.6 x 2.7 mm CITO DYNAMIC (35 m / box),False,25-May-2026,P23-2682,09-Jan-2026,Completed,0.6 x 2.7 mm,CITO-SYSTEM GmbH,35.00,50.6903488,"1,774.16"
AGA06161,0.6 x 2.7 mm CITO DYNAMIC (35 m / box),False,13-Aug-2026,P23-2864,13-Apr-2026,Fully billed,0.6 x 2.7 mm,CITO-SYSTEM GmbH,30.00,48.3051296,"1,449.15"
AGA06171,0.6 x 3.0 mm CITO DYNAMIC (35 m / box),,22-Sep-2025,P23-2422,15-Sep-2025,Completed,0.6 x 3.0 mm,CITO-SYSTEM GmbH,3.00,50.4048328,151.21
AGA06171,0.6 x 3.0 mm CITO DYNAMIC (35 m / box),,27-Nov-2025,P23-2557,13-Nov-2025,Completed,0.6 x 3.0 mm,CITO-SYSTEM GmbH,2.00,51.4926048,102.99
AGA06171,0.6 x 3.0 mm CITO DYNAMIC (35 m / box),,15-Apr-2026,P23-2849,01-Apr-2026,Completed,0.6 x 3.0 mm,CITO-SYSTEM GmbH,1.00,48.6196256,48.62
AGA06171,0.6 x 3.0 mm CITO DYNAMIC (35 m / box),,13-Aug-2026,P23-2864,13-Apr-2026,Fully billed,0.6 x 3.0 mm,CITO-SYSTEM GmbH,13.00,48.3051296,627.97
AGA06191,0.6 x 3.5 mm CITO DYNAMIC (35 m/box.),,30-Oct-2025,P23-2511,16-Oct-2025,Receiving,0.6 x 3.5 mm,CITO-SYSTEM GmbH,1.00,51.4280690,51.43
AGA06191,0.6 x 3.5 mm CITO DYNAMIC (35 m/box.),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,0.6 x 3.5 mm,CITO-SYSTEM GmbH,3.00,50.3232373,150.97
AGA06191,0.6 x 3.5 mm CITO DYNAMIC (35 m/box.),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.6 x 3.5 mm,CITO-SYSTEM GmbH,3.00,49.8373862,149.51
AGA08131,0.8 x 2.1 mm CITO DYNAMIC (35 m / box),,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.8 x 2.1 mm,CITO-SYSTEM GmbH,10.00,58.7623368,587.62
AGA08161,0.8 x 2.7 mm CITO DYNAMIC (35 m / box),,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.8 x 2.7 mm,CITO-SYSTEM GmbH,9.00,59.7699942,537.93
AGA08171,0.8 x 3.0 mm CITO DYNAMIC (35 m / box),,26-Feb-2026,P23-2549,07-Nov-2025,Completed,0.8 x 3.0 mm,CITO-SYSTEM GmbH,2.00,60.2443485,120.49
AGA08171,0.8 x 3.0 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.8 x 3.0 mm,CITO-SYSTEM GmbH,2.00,58.8544194,117.71
AGA08191,0.8 x 3.5 mm CITO DYNAMIC (35 m / box),,22-Sep-2025,P23-2409,08-Sep-2025,Completed,0.8 x 3.5 mm,CITO-SYSTEM GmbH,2.00,60.3396927,120.68
AGA08191,0.8 x 3.5 mm CITO DYNAMIC (35 m / box),,13-Jan-2026,P23-2418,11-Sep-2025,Completed,0.8 x 3.5 mm,CITO-SYSTEM GmbH,2.00,59.7699942,119.54
AGA08191,0.8 x 3.5 mm CITO DYNAMIC (35 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,0.8 x 3.5 mm,CITO-SYSTEM GmbH,1.00,59.4281751,59.43
AGA08191,0.8 x 3.5 mm CITO DYNAMIC (35 m / box),,26-Feb-2026,P23-2549,07-Nov-2025,Completed,0.8 x 3.5 mm,CITO-SYSTEM GmbH,1.00,60.2443485,60.24
AGA08191,0.8 x 3.5 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,0.8 x 3.5 mm,CITO-SYSTEM GmbH,4.00,58.8544194,235.42
AGA08191,0.8 x 3.5 mm CITO DYNAMIC (35 m / box),,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,0.8 x 3.5 mm,CITO-SYSTEM GmbH,3.00,55.6248882,166.87
AGA08201,0.8 x 4.0 mm CITO DYNAMIC (35 m / box),False,25-Nov-2026,P23-3131,13-Aug-2026,Ordered,0.8 x 4.0 mm,CITO-SYSTEM GmbH,1.00,55.2482448,55.25
AGA10171,1.0 x 3.0 mm CITO DYNAMIC (35 m / box),,27-Nov-2025,P23-2557,13-Nov-2025,Completed,1.0 x 3.0 mm,CITO-SYSTEM GmbH,4.00,58.7779596,235.11
AGA10171,1.0 x 3.0 mm CITO DYNAMIC (35 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,1.0 x 3.0 mm,CITO-SYSTEM GmbH,4.00,58.4262804,233.71
AGA10171,1.0 x 3.0 mm CITO DYNAMIC (35 m / box),,26-Feb-2026,P23-2549,07-Nov-2025,Completed,1.0 x 3.0 mm,CITO-SYSTEM GmbH,5.00,59.2286940,296.14
AGA10171,1.0 x 3.0 mm CITO DYNAMIC (35 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,1.0 x 3.0 mm,CITO-SYSTEM GmbH,5.00,57.8621976,289.31
AGA10191,1.0 x 3.5 mm CITO DYNAMIC (35 m / box),,04-Mar-2026,P23-2778,18-Feb-2026,Receiving,1.0 x 3.5 mm,CITO-SYSTEM GmbH,1.00,55.6909608,55.69
AGA10201,1.0 x 4.0 mm CITO DYNAMIC (35 m / box),,04-Mar-2026,P23-2778,18-Feb-2026,Receiving,1.0 x 4.0 mm,CITO-SYSTEM GmbH,1.00,55.6909608,55.69
AGA10221,1.0 x 5.0 mm CITO DYNAMIC (28 m / box),,22-Sep-2025,P23-2409,08-Sep-2025,Completed,1.0 x 5.0 mm,CITO-SYSTEM GmbH,3.00,47.4543753,142.36
AGA10221,1.0 x 5.0 mm CITO DYNAMIC (28 m / box),,14-Jan-2026,P23-2671,30-Dec-2025,Completed,1.0 x 5.0 mm,CITO-SYSTEM GmbH,2.00,46.7375089,93.48
AGA10221,1.0 x 5.0 mm CITO DYNAMIC (28 m / box),,25-May-2026,P23-2682,09-Jan-2026,Completed,1.0 x 5.0 mm,CITO-SYSTEM GmbH,4.00,46.2862766,185.15
AGA12201,1.2 x 4.0 mm CITO DYNAMIC (28 m / box),,20-May-2026,P23-2938,08-May-2026,Fully billed,1.2 x 4.0 mm,CITO-SYSTEM GmbH,2.00,43.2151316,86.43
AGA12201,1.2 x 4.0 mm CITO DYNAMIC (28 m / box),,21-Oct-2026,P23-3010,17-Jun-2026,Ordered,1.2 x 4.0 mm,CITO-SYSTEM GmbH,2.00,43.7463998,87.49
